Drug,Disease,Class,TC_HPO-SIM,TC_PHENO-SIM,SE-SIM_HPO-SIM,SE-SIM_PHENO-SIM,PPI-SIM_HPO-SIM,PPI-SIM_PHENO-SIM,HPO-SIM,PHENO-SIM,GO-SIM_HPO-SIM,GO-SIM_PHENO-SIM,TARGETSEQ-SIM_HPO-SIM,TARGETSEQ-SIM_PHENO-SIM
DB00863,304790,1,0.9168313423,0.9168313423,0.6945680501,0.5322906474,1,1,262.4823804,262.4823804,1,1,1,1
DB00863,190310,1,0.9168313423,0.9168313423,0.6941215128,0.5322906474,1,1,262.4823804,262.4823804,1,1,1,1
DB06287,144700,1,0.9766504768,0.9766504768,0.5757663148,0.5757663148,1,1,316.783838,316.783838,1,1,1,1
DB01395,604416,1,0.9128709292,0.9128709292,0.5767139011,0.4402254532,1,1,261.7785324,261.7785324,0.9490812055,0.9490812055,1,1
DB01395,184700,1,0.7372097808,0.7372097808,0.5767139011,0.4402254532,1,1,261.2527512,261.2527512,0.9309596745,0.9309596745,1,1
DB01156,143465,1,0.8379336944,0.5773502692,0.8379336944,0.5541182003,1,1,345.775939,345.775939,0.9338086806,0.9338086806,1,1
DB01156,264120,1,0.6793662205,0.6793662205,0.667260748,0.5872608843,1,1,345.8034124,345.8034124,0.9561990924,0.9561990924,1,1
DB01156,167870,1,0.8379336944,0.5773502692,0.8379336944,0.5988138714,1,1,345.8872649,345.8872649,0.9262307271,0.9262307271,1,1
DB00180,208550,1,0.9244162777,0.9244162777,0.8710448196,0.5865884601,1,1,337.7158569,337.7158569,1,1,1,1
DB00180,600807,1,0.9244162777,0.9244162777,0.8710448196,0.5865884601,1,1,337.6758801,337.6758801,1,1,1,1
DB01225,231200,1,0.9522458065,0.6186404848,0.9522458065,0.3333333333,0.9522458065,0.2116798562,276.9187607,276.9187607,0.9522458065,0.7678135546,0.9522458065,0.181516706
DB01225,188050,1,0.9411239481,0.9411239481,0.7862191604,0.4140393356,1,1,277.0703882,277.0703882,1,1,1,1
DB01225,273800,1,0.9522458065,0.632455532,0.9522458065,0.3630192085,0.9522458065,0.3490010815,276.9187607,277.2273435,0.9522458065,0.8026909964,0.9522458065,0.2225792884
DB01225,155100,1,0.908810432,0.6186404848,0.908810432,0.3333333333,0.908810432,0.2116798562,276.9187607,276.9187607,0.908810432,0.7678135546,0.908810432,0.181516706
DB00448,109350,1,0.9270248109,0.9270248109,0.7366878176,0.6410391362,1,1,312.4771992,312.4771992,1,1,1,1
DB00448,190310,1,0.9270248109,0.9270248109,0.6941215128,0.6410391362,1,1,312.4771992,312.4771992,1,1,1,1
DB00448,600263,1,0.9270248109,0.9270248109,0.7366878176,0.6410391362,1,1,312.4771992,312.4771992,1,1,1,1
DB00598,608622,1,0.8407714028,0.8407714028,0.7747372054,0.6053590896,1,1,205.4069132,205.4069132,0.9817685263,0.9817685263,1,1
DB00598,161900,1,0.8407714028,0.8407714028,0.7628682221,0.6053590896,1,1,205.4774927,205.4774927,1,1,1,1
DB00598,110100,1,0.8320502943,0.8320502943,0.5773502692,0.5773502692,1,1,205.2340128,205.2340128,0.9765834318,0.9765834318,1,1
DB00598,171300,1,0.7747372054,0.7328281088,0.7747372054,0.5123475383,1,1,205.2340128,205.2340128,0.974463041,0.974463041,1,1
DB00598,157700,1,0.8355316915,0.8355316915,0.6670969563,0.5773502692,1,1,205.2340128,205.2340128,0.9765834318,0.9765834318,1,1
DB01177,247640,1,0.9801960588,0.9801960588,0.8815374283,0.5418283692,1,1,346.891914,346.891914,1,1,1,1
DB01177,601626,1,0.9801960588,0.9801960588,0.8815374283,0.5285164226,1,1,346.8702928,346.8702928,1,1,1,1
DB01177,223350,1,0.9801960588,0.9801960588,0.8038627799,0.5418283692,1,1,346.8414623,346.8414623,1,1,1,1
DB00537,266600,1,0.7075776889,0.6272500482,0.7075776889,0.5383819021,0.7075776889,0.3490010815,357.123228,357.123228,0.8204686774,0.8204686774,0.7075776889,0.1949243527
DB00537,208550,1,0.938401308,0.938401308,0.6653540368,0.6454972244,1,1,358.7798768,358.7798768,0.9304026514,0.9304026514,1,1
DB00537,166760,1,0.7075776889,0.6534265775,0.7075776889,0.3991605447,0.7075776889,0.3490010815,322.640667,322.640667,0.8239615839,0.8239615839,0.7075776889,0.214666937
DB00537,258360,1,0.755928946,0.755928946,0.6653540368,0.4937707199,0.6775382177,0.3490010815,276.8668286,144.6962335,0.7758167142,0.7758167142,0.6775382177,0.1939878434
DB01410,208550,1,0.9416965821,0.9416965821,0.5878675321,0.5878675321,1,1,358.7798768,358.7798768,1,1,1,1
DB00320,300125,1,0.9765278554,0.9651460249,0.9765278554,0.5399055248,0.9765278554,0.3490010815,315.6390343,315.6390343,0.980984321,0.980984321,0.9765278554,0.6863014281
DB00320,157300,1,0.9765278554,0.9651460249,0.9765278554,0.6153846154,1,1,315.6865534,315.6865534,0.983900445,0.983900445,1,1
DB00278,188050,1,0.7321765321,0.7321765321,0.4483951394,0.4483951394,0.4137504828,0.3490010815,309.8273713,309.8273713,0.8821205088,0.8821205088,0.492660735,0.492660735
DB01043,605055,1,0.8263242333,0.512989176,0.8263242333,0.6885998415,0.8263242333,0.3490010815,257.3441276,257.3441276,0.9066275598,0.9066275598,0.8263242333,0.2238226674
DB01043,104300,1,0.8684739281,0.512989176,0.8684739281,0.6885998415,0.8684739281,0.3490010815,257.3441276,257.3441276,0.9066275598,0.9066275598,0.8684739281,0.2238226674
DB01043,125320,1,0.8684739281,0.5656854249,0.8684739281,0.6885998415,0.8684739281,0.3490010815,257.3965812,257.3965812,0.9402683927,0.9402683927,0.8684739281,0.2238226674
DB00350,104130,1,0.7487363091,0.7487363091,0.6101550583,0.3244428423,0.6243314201,0.2116798562,288.8754057,288.8754057,0.8754555559,0.8754555559,0.6243314201,0.2203622512
DB00350,608622,1,0.7628682221,0.7622867447,0.7628682221,0.4101515562,0.7628682221,0.5754055066,289.9758611,289.9758611,0.89791447,0.89791447,0.7628682221,0.2404421219
DB00350,161900,1,0.7628682221,0.7622867447,0.7628682221,0.4101515562,0.7628682221,0.5754055066,289.9758611,289.9758611,0.89791447,0.89791447,0.7628682221,0.2560164656
DB00324,278200,1,0.6650691102,0,0.2848837847,0,0.7242985859,0,82.7030738,0,0.7242985859,0,0.7242985859,0
DB01020,109350,1,0.9428090416,0.9428090416,0.5736845161,0.5736845161,0.5184783407,0.3490010815,355.1309618,355.1309618,0.8855042636,0.8855042636,0.5184783407,0.3567022287
DB01020,608320,1,0.9428090416,0.9428090416,0.5796550698,0.5796550698,0.5184783407,0.3490010815,354.0296598,354.0296598,0.8855042636,0.8855042636,0.5184783407,0.3567022287
DB01214,137750,1,0.9411781121,0.8717797887,0.9411781121,0.4108907018,1,1,352.4585082,352.4585082,1,1,1,1
DB01214,137760,1,0.9411781121,0.8539125638,0.9411781121,0.4108907018,1,1,352.4585082,352.4585082,1,1,1,1
DB01214,601682,1,0.905181708,0.8539125638,0.905181708,0.4108907018,1,1,352.4585082,352.4585082,1,1,1,1
DB00819,217200,1,0.7587869106,0.7587869106,0.6653652273,0.3834824944,1,1,161.2668596,161.2668596,0.8944890227,0.8944890227,1,1
DB00819,239350,1,0.7587869106,0.7587869106,0.6653652273,0.3834824944,1,1,161.2668596,161.2668596,0.8944890227,0.8944890227,1,1
DB00819,600351,1,0.8195375471,0.8195375471,0.6624119801,0.4395245365,0.6624119801,0.2116798562,161.1552047,161.1552047,0.9223999829,0.9223999829,0.788630426,0.788630426
DB00819,215140,1,0.8195375471,0.8195375471,0.6027391412,0.4446059138,0.6027391412,0.2116798562,161.1117625,161.2079403,0.9351985278,0.9351985278,0.788630426,0.788630426
DB00819,243200,1,0.6561880401,0,0.647226782,0,0.7612644963,0,129.1630036,0,0.7385480252,0,0.7612644963,0
DB00819,147480,1,0.6368566045,0,0.6368566045,0,0.6368566045,0,133.1917086,0,0.6669465777,0,0.6368566045,0
DB00540,600631,1,0.9748100425,0.7071067812,0.9748100425,0.741422688,1,1,275.5176892,219.5267637,0.9806725985,0.9806725985,1,1
DB00540,147530,1,0.8660254038,0.8660254038,0.7865780546,0.7865780546,1,1,337.1765116,337.1765116,0.9900211425,0.9900211425,1,1
DB00540,143465,1,0.8379336944,0.7650920557,0.8379336944,0.786333651,1,1,324.9676907,324.9676907,0.9900211425,0.9900211425,1,1
DB00540,600808,1,0.9748100425,0.7071067812,0.9748100425,0.741422688,1,1,289.0206806,219.5267637,0.9806725985,0.9806725985,1,1
DB00540,167870,1,0.8379336944,0.7071067812,0.8379336944,0.741422688,1,1,336.2588289,336.2588289,0.9806725985,0.9806725985,1,1
DB00540,252320,1,0.8660254038,0.8660254038,0.7865780546,0.7865780546,1,1,325.0138459,325.0138459,0.9672079607,0.9672079607,1,1
DB00846,233810,1,0.9622504486,0.9622504486,0.7276068751,0.7276068751,1,1,175.8323065,175.8323065,1,1,1,1
DB01195,607554,1,0.785281266,0.785281266,0.5469068868,0.5469068868,1,1,266.7789347,266.7789347,0.9793738006,0.9793738006,1,1
DB01143,276300,1,0.7989354619,0.7989354619,0.4149523231,0.4149523231,0.3490010815,0.3490010815,210.4043726,210.4043726,0.7802100979,0.7802100979,0.2276656379,0.2276656379
DB00210,604416,1,0.7427813527,0.7427813527,0.4246502901,0.4246502901,0.7086187365,0.5754055066,359.8680314,359.8680314,0.9744407028,0.9744407028,0.7086187365,0.5192951013
DB00925,171300,1,0.6813851439,0.6813851439,0.2738612788,0.2738612788,0.7747372054,0.3490010815,156.7832899,156.7832899,0.963712321,0.963712321,0.7747372054,0.1909157757
DB00762,276300,1,0.8930108367,0.8930108367,0.7119337097,0.5163977795,1,1,162.7144738,162.7144738,1,1,1,1
DB00762,114500,1,0.8260465732,0.8260465732,0.818066715,0.4364357805,0.818066715,0,162.6191871,162.6191871,0.818066715,0.7932574279,0.818066715,0.2216075047
DB00762,246470,1,0.8930108367,0.8930108367,0.818066715,0.4685212857,0.818066715,0,162.2559706,162.2559706,0.818066715,0.7695042744,0.818066715,0.2502310855
DB00762,223350,1,0.8930108367,0.8930108367,0.7244553712,0.4685212857,0.7244553712,0.3490010815,162.6868157,162.6868157,0.8615227527,0.8615227527,0.7244553712,0.2325740987
DB00286,114480,1,0.8288730203,0.7006490497,0.8288730203,0.5798496327,1,1,358.8384037,358.8384037,1,1,1,1
DB00286,192000,1,0.872975742,0.7071067812,0.872975742,0.5569427127,0.872975742,0.5754055066,311.9993807,305.6484909,0.9900883089,0.9900883089,0.872975742,0.3909106093
DB00286,102500,1,0.7071067812,0.7071067812,0.6576614721,0.5798496327,1,1,347.9985632,347.9985632,1,1,1,1
DB00286,176807,1,0.8927100553,0.7006490497,0.8927100553,0.5798496327,0.8927100553,0.5754055066,357.3975378,357.3975378,0.9900883089,0.9900883089,0.8927100553,0.3767443115
DB00286,215470,1,0.7337993857,0.7337993857,0.6682110172,0.5798496327,1,1,347.9985632,347.9985632,1,1,1,1
DB00286,601518,1,0.8927100553,0.5773502692,0.8927100553,0.53654337,0.8927100553,0.3490010815,334.6012552,334.6012552,0.8927100553,0.807872556,0.8927100553,0.204164023
DB00286,311360,1,0.7337993857,0.7337993857,0.6789597635,0.5798496327,1,1,347.9985632,347.9985632,1,1,1,1
DB01085,161900,1,0.8086075401,0.8086075401,0.5521938362,0.5521938362,1,1,285.4662852,285.4662852,0.9295811479,0.9295811479,1,1
DB00590,147530,1,0.9773555549,0.9773555549,0.6407301997,0.5507074437,1,1,140.8403351,140.8403351,1,1,1,1
DB00590,179600,1,0.7999253306,0.789542034,0.7999253306,0.6095420428,0.7999253306,0.2116798562,101.7093183,78.75277773,0.8767525697,0.8767525697,0.7999253306,0.2354050178
DB00590,600082,1,0.9773555549,0.9773555549,0.7638219603,0.5507074437,1,1,121.6401352,78.79720807,1,1,1,1
DB00590,608622,1,0.9773555549,0.9773555549,0.7999253306,0.6095420428,1,1,126.3962025,126.3962025,1,1,1,1
DB00590,161900,1,0.9773555549,0.9773555549,0.7638219603,0.6095420428,1,1,126.3962025,126.3962025,1,1,1,1
DB00590,200170,1,0.9773555549,0.9773555549,0.5824536303,0.5507074437,1,1,86.29909674,79.16438593,1,1,1,1
DB00938,208550,1,0.8710448196,0.795394909,0.8710448196,0.6168369354,1,1,271.5713534,271.5713534,1,1,1,1
DB00938,600807,1,0.8710448196,0.795394909,0.8710448196,0.6168369354,1,1,271.5713534,271.5713534,1,1,1,1
DB00603,192000,1,0.8141111435,0.7601169501,0.8141111435,0.5569427127,1,1,122.2456543,122.2456543,1,1,1,1
DB00603,102500,1,0.7302967433,0.7302967433,0.650028502,0.5569427127,0.7589543039,0.5754055066,122.2456543,122.2456543,0.9823702446,0.9823702446,0.7589543039,0.3909106093
DB00603,144700,1,0.7136007807,0.7123641531,0.7136007807,0.4693745839,0.7136007807,0.3490010815,122.2701926,122.2701926,0.8716473881,0.8716473881,0.7136007807,0.304380168
DB00603,131200,1,0.8141111435,0.7601169501,0.8141111435,0.5153882032,1,1,121.5524578,121.5524578,1,1,1,1
DB00641,144010,1,0.9660917831,0.9660917831,0.8398966345,0.8398966345,1,1,359.9902776,359.9902776,0.9327318329,0.9327318329,1,1
DB01204,247640,1,0.8863253076,0.7867957925,0.8863253076,0.5206035319,1,1,141.1523999,141.1523999,1,1,1,1
DB01204,147530,1,0.755928946,0.755928946,0.7216036311,0.5163977795,0.7216036311,0.5754055066,141.4107492,141.4107492,0.8085667503,0.8085667503,0.7216036311,0.2177626325
DB01204,236000,1,0.8863253076,0.7867957925,0.8863253076,0.5206035319,1,1,141.2834031,141.2834031,1,1,1,1
DB01204,601626,1,0.9196137548,0.7867957925,0.9196137548,0.5125542551,1,1,141.1523999,141.1523999,1,1,1,1
DB01204,176807,1,0.8279055689,0.7071067812,0.8279055689,0.4922609258,0.8798732429,0.5754055066,124.1962199,72.58098925,0.8798732429,0.8200602482,0.8798732429,0.2302671071
DB01204,109543,1,0.9196137548,0.7385489459,0.9196137548,0.5206035319,1,1,141.1523999,141.1523999,1,1,1,1
DB01204,126200,1,0.7216036311,0.5953405578,0.7216036311,0.4714045208,0.7216036311,0.3490010815,141.226768,141.226768,0.7532587005,0.7532587005,0.7216036311,0.2177626325
DB00275,608622,1,0.9060328484,0.9060328484,0.7628682221,0.6023862534,1,1,353.9745754,353.9745754,1,1,1,1
DB00275,161900,1,0.9060328484,0.9060328484,0.7628682221,0.6023862534,1,1,354.0155364,354.0155364,1,1,1,1
DB00257,212050,1,0.790569415,0.790569415,0.7637813391,0.2886751346,1,1,153.4698667,153.4698667,0.8936234229,0.8936234229,1,1
DB00257,114580,1,0.790569415,0.790569415,0.7637813391,0.2886751346,1,1,153.5057002,153.5057002,0.8936234229,0.8936234229,1,1
DB00924,147530,1,1,1,0.7544468867,0.7165985721,0.7544468867,0.3490010815,360.2179896,360.2179896,0.9296039348,0.9296039348,0.7544468867,0.6838834839
DB00924,160750,1,0.7679476478,0.7679476478,0.7008804972,0.4673230195,0.7008804972,0.3490010815,359.2909684,359.2909684,0.8593533001,0.8593533001,0.7008804972,0.1650012355
DB00924,157300,1,0.7679476478,0.7679476478,0.7421469256,0.5507427127,0.7421469256,0.3490010815,359.6220238,359.6220238,0.9348721165,0.9348721165,0.7421469256,0.630188225
DB00924,601042,1,0.7544468867,0.5877538136,0.7544468867,0.5204962389,0.8119322439,0.2116798562,359.2909684,359.2909684,0.8877761468,0.8877761468,0.8119322439,0.4449446311
DB00924,200170,1,0.7679476478,0.7679476478,0.7008804972,0.5514467946,0.7219476253,0.3490010815,359.2909684,359.2909684,0.8813837667,0.8813837667,0.7219476253,0.4518244209
DB00937,264120,1,0.755928946,0.755928946,0.708022186,0.6154574549,1,1,282.1045905,282.1045905,0.9561990924,0.9561990924,1,1
DB00937,601665,1,0.755928946,0.755928946,0.708022186,0.6154574549,1,1,282.0762308,282.0762308,0.9516074739,0.9516074739,1,1
DB01219,145600,1,0.885661803,0,0.885661803,0,0.885661803,0,250.9086754,0,0.885661803,0,0.885661803,0
DB01219,125310,1,0.7991876234,0.7026171689,0.7991876234,0.5296938168,0.7991876234,0.3490010815,331.2083936,331.2083936,0.8535117759,0.8535117759,0.7991876234,0.1655642443
DB01219,238800,1,0.7389824778,0,0.7389824778,0,0.7389824778,0,289.6952312,0,0.7389824778,0,0.7389824778,0
DB01219,154276,1,0.885661803,0,0.885661803,0,0.885661803,0,245.1472893,0,0.885661803,0,0.885661803,0
DB01219,607225,1,0.7836583117,0.4409585518,0.7836583117,0.4527923591,0.7836583117,0.2116798562,269.0820565,106.6020638,0.7836583117,0.7406387886,0.7836583117,0.1435278485
DB01219,601042,1,0.7927017497,0.6620847109,0.7927017497,0.4714045208,0.7927017497,0.2116798562,331.2733011,331.2733011,0.8177618095,0.8177618095,0.7927017497,0.1777875942
DB01219,601367,1,0.7991876234,0.7026171689,0.7991876234,0.5296938168,0.7991876234,0.3490010815,331.2083936,334.0883117,0.850169461,0.850169461,0.7991876234,0.1553008134
DB01219,217150,1,0.7195117432,0,0.7195117432,0,0.7195117432,0,259.2566917,0,0.7195117432,0,0.7195117432,0
DB01219,126200,1,0.7760635509,0.7071067812,0.7760635509,0.4605661865,0.7760635509,0.2116798562,268.4995345,268.4995345,0.8346786264,0.8346786264,0.7760635509,0.1587478263
DB01219,540000,1,0.7428128022,0.7026171689,0.7428128022,0.5296938168,0.7428128022,0.3490010815,331.2083936,331.2083936,0.7992582802,0.7992582802,0.7428128022,0.1476261089
DB01016,600496,1,0.9251831987,0.877650426,0.9251831987,0.593295879,1,1,292.7729496,292.7729496,0.932753193,0.932753193,1,1
DB01016,125851,1,0.9251831987,0.877650426,0.9251831987,0.593295879,1,1,292.7729496,292.7729496,0.932753193,0.932753193,1,1
DB01016,125853,1,0.877650426,0.877650426,0.8748649186,0.593295879,1,1,292.7729496,292.7729496,0.932753193,0.932753193,1,1
DB01016,125850,1,0.9179349594,0.877650426,0.9179349594,0.593295879,1,1,292.7729496,292.7729496,0.932753193,0.932753193,1,1
DB00213,109350,1,0.9332565253,0.9332565253,0.7366878176,0.6433921731,1,1,326.2468391,326.2468391,1,1,1,1
DB00213,190310,1,0.9332565253,0.9332565253,0.6941215128,0.6433921731,1,1,326.2468391,326.2468391,1,1,1,1
DB00213,600263,1,0.9332565253,0.9332565253,0.7366878176,0.6433921731,1,1,326.2468391,326.2468391,1,1,1,1
DB00181,128101,1,0.8884568356,0.4423258685,0.8884568356,0.5228936044,0.8884568356,0.2116798562,105.9150603,105.9150603,0.8884568356,0.7692987502,0.8884568356,0.1846333474
DB00181,147530,1,0.8205591974,0.8100925873,0.8205591974,0.5861206488,0.8205591974,0.3490010815,107.4104278,107.4104278,0.8471082348,0.8471082348,0.8205591974,0.254918939
DB00181,190400,1,0.8205591974,0.5322906474,0.8205591974,0.5228936044,0.8205591974,0.2116798562,107.2380529,107.2380529,0.8279115645,0.8279115645,0.8205591974,0.1846333474
DB00181,607225,1,0.7836583117,0.4409585518,0.7836583117,0.4527923591,0.7836583117,0.2116798562,106.6020638,106.6020638,0.7836583117,0.7406387886,0.7836583117,0.1435278485
DB00181,601042,1,0.8316565251,0.5951190357,0.8316565251,0.5714886933,0.8316565251,0.3490010815,107.4104278,107.4104278,0.8316565251,0.8281363954,0.8316565251,0.2281112518
DB00181,143100,1,0.8316565251,0,0.8316565251,0,0.8316565251,0,94.37593882,0,0.8316565251,0,0.8316565251,0
DB00181,189600,1,0.8884568356,0.5601120336,0.8884568356,0.4601789933,0.8884568356,0.3490010815,107.1354283,107.1354283,0.8884568356,0.8200157483,0.8884568356,0.2281112518
DB00181,126200,1,0.7760635509,0.593171014,0.7760635509,0.5712405706,0.7760635509,0.3490010815,106.6020638,106.6020638,0.8162157998,0.8162157998,0.7760635509,0.2285109584
DB00569,188050,1,0.9411239481,0.9411239481,0.4685212857,0.4685212857,1,1,221.4994357,221.4994357,1,1,1,1
DB00968,608622,1,0.7628682221,0.7467879938,0.7628682221,0.5257592265,0.7628682221,0.5754055066,197.0076141,197.0076141,0.9701229919,0.9701229919,0.7628682221,0.2426007503
DB00968,161900,1,0.8075728531,0.8075728531,0.7628682221,0.5257592265,0.7628682221,0.5754055066,197.0812015,197.0812015,0.9701229919,0.9701229919,0.7628682221,0.2909710169
DB00876,608622,1,0.8200084104,0.8200084104,0.7628682221,0.624449443,1,1,266.7770605,266.7770605,1,1,1,1
DB00876,161900,1,0.8200084104,0.8200084104,0.7628682221,0.624449443,1,1,273.523308,273.523308,1,1,1,1
DB00549,208550,1,0.6953534954,0.6953534954,0.5345224838,0.5345224838,1,1,341.638698,341.638698,0.9336970887,0.9336970887,1,1
DB00710,166710,1,0.8284168696,0.8284168696,0.7683443653,0.5402118045,1,1,300.1316378,300.1316378,1,1,1,1
DB00710,102500,1,0.8284168696,0.8284168696,0.7683443653,0.6210590034,1,1,300.3298187,300.3298187,1,1,1,1
DB00865,264120,1,0.755928946,0.755928946,0.708022186,0.7071067812,1,1,231.2747284,231.2747284,0.960663971,0.960663971,1,1
DB00865,601665,1,0.755928946,0.755928946,0.708022186,0.7071067812,1,1,231.2401349,231.2401349,0.960663971,0.960663971,1,1
DB00865,303110,1,0.7518094116,0.7518094116,0.7071067812,0.7071067812,1,1,231.2401349,231.2401349,0.960663971,0.960663971,1,1
DB01193,608622,1,0.8451542547,0.8451542547,0.7628682221,0.6382847385,1,1,215.2370786,215.2370786,1,1,1,1
DB01193,161900,1,0.8451542547,0.8451542547,0.7628682221,0.6382847385,1,1,215.3044356,215.3044356,1,1,1,1
DB00712,165720,1,0.8663367227,0.8086075401,0.8663367227,0.6752777206,1,1,172.1946573,172.1946573,1,1,1,1
DB00712,607459,1,0.8086075401,0.8086075401,0.7333175062,0.6752777206,1,1,172.1946573,172.1946573,1,1,1,1
DB00712,153880,1,0.670314503,0.5091750772,0.670314503,0.3890390101,0.670314503,0.3490010815,171.5779706,171.5779706,0.8225315622,0.8225315622,0.670314503,0.2193817365
DB00712,607850,1,0.8767268274,0.8086075401,0.8767268274,0.6752777206,1,1,172.1946573,172.1946573,1,1,1,1
DB00712,140600,1,0.8767268274,0.8086075401,0.8767268274,0.6752777206,1,1,172.1946573,172.1946573,1,1,1,1
DB00712,103100,1,0.7333175062,0,0.7333175062,0,0.7333175062,0,135.6948596,0,0.7333175062,0,0.7333175062,0
DB00712,208230,1,0.8137546657,0.8086075401,0.8137546657,0.6752777206,1,1,172.1946573,172.1946573,1,1,1,1
DB01142,147530,1,0.8853156408,0.8853156408,0.5923488778,0.5923488778,1,1,272.9139058,272.9139058,0.9882109108,0.9882109108,1,1
DB01142,603165,1,0.6370220573,0.6370220573,0.4572958527,0.4572958527,0.7637245693,0.2116798562,244.450404,244.450404,0.8702965282,0.8702965282,0.7637245693,0.2171811964
DBX00268,168600,1,0.8493074604,0.8086075401,0.8493074604,0.5375128427,1,1,314.1082616,314.1082616,0.999250537,0.999250537,1,1
DBX00268,102300,1,0.7217290915,0.6708203932,0.7217290915,0.6055300708,1,1,313.9745213,313.9745213,0.939178207,0.939178207,1,1
DBX00268,168100,1,0.8493074604,0.8086075401,0.8493074604,0.6426845869,1,1,314.1082616,314.1082616,0.999250537,0.999250537,1,1
DB00268,125320,1,0.8211915218,0.7254762501,0.8211915218,0.6426845869,1,1,314.1082616,314.1082616,0.9402683927,0.9402683927,1,1
DB00186,167870,1,0.7682212796,0.7682212796,0.7602074021,0.4418360822,1,1,357.8002236,357.8002236,1,1,1,1
DB00186,252320,1,0.6622661785,0.6622661785,0.6438672613,0.4572084295,1,1,357.7345384,357.7345384,0.9660438447,0.9660438447,1,1
DB00186,189600,1,0.7602074021,0.5601120336,0.7602074021,0.4601789933,0.7602074021,0.3490010815,285.4274848,107.1354283,0.8200157483,0.8200157483,0.7602074021,0.2281112518
DB00357,268320,1,0.5794060746,0,0.3078783866,0,0.6107380711,0,253.684917,0,0.6126118649,0,0.6107380711,0
DB00999,102500,1,0.7589543039,0.5739440432,0.7589543039,0.5198752449,0.7589543039,0.2116798562,120.4948132,120.4948132,0.7884166765,0.7884166765,0.7589543039,0.2328884522
DB00999,608622,1,0.9155519068,0.9155519068,0.7967324574,0.7967324574,1,1,126.4238901,126.4238901,0.9972305656,0.9972305656,1,1
DB00999,161900,1,0.9155519068,0.9155519068,0.7967324574,0.7967324574,1,1,126.4238901,126.4238901,0.9972305656,0.9972305656,1,1
DB00999,600351,1,0.9155519068,0.9155519068,0.6875637866,0.4962546289,1,1,100.8147072,97.44742172,0.9972305656,0.9972305656,1,1
